,feature1,feature2,sim.score,z.stat,p.value,q.value
514,k__Bacteria;p__NKB19,k__Bacteria;p__OP3,NA,NA,NA,NA
515,k__Bacteria;p__NKB19,k__Bacteria;p__Planctomycetes,NA,NA,NA,NA
516,k__Bacteria;p__NKB19,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,NA,NA,NA,NA
517,k__Bacteria;p__NKB19,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,NA,NA,NA,NA
518,k__Bacteria;p__NKB19,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,NA,NA,NA,NA
519,k__Bacteria;p__NKB19,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,NA,NA,NA,NA
520,k__Bacteria;p__NKB19,k__Bacteria;p__SC3,NA,NA,NA,NA
521,k__Bacteria;p__NKB19,k__Bacteria;p__SC4,NA,NA,NA,NA
522,k__Bacteria;p__NKB19,k__Bacteria;p__SM2F11,NA,NA,NA,NA
523,k__Bacteria;p__NKB19,k__Bacteria;p__SPAM,NA,NA,NA,NA
524,k__Bacteria;p__NKB19,k__Bacteria;p__Spirochaetes,NA,NA,NA,NA
525,k__Bacteria;p__NKB19,k__Bacteria;p__TG3,NA,NA,NA,NA
526,k__Bacteria;p__NKB19,k__Bacteria;p__TM7,NA,NA,NA,NA
527,k__Bacteria;p__NKB19,k__Bacteria;p__Tenericutes,NA,NA,NA,NA
528,k__Bacteria;p__NKB19,k__Bacteria;p__Thermi,NA,NA,NA,NA
529,k__Bacteria;p__NKB19,k__Bacteria;p__Verrucomicrobia,NA,NA,NA,NA
530,k__Bacteria;p__NKB19,k__Bacteria;p__WPS-2,NA,NA,NA,NA
531,k__Bacteria;p__NKB19,k__Bacteria;p__WS3,NA,NA,NA,NA
532,k__Bacteria;p__Nitrospirae,k__Bacteria;p__OP10,0.334025302,1.316329235,0.188063563,1.687154995
533,k__Bacteria;p__Nitrospirae,k__Bacteria;p__OP11,NA,NA,NA,NA
534,k__Bacteria;p__Nitrospirae,k__Bacteria;p__OP3,NA,NA,NA,NA
535,k__Bacteria;p__Nitrospirae,k__Bacteria;p__Planctomycetes,0.713226556,4.176151244,2.96E-05,0.00108492
536,k__Bacteria;p__Nitrospirae,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,-0.132244091,-0.544291279,0.586241047,4.159126919
537,k__Bacteria;p__Nitrospirae,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,-0.784549211,-4.45584848,8.36E-06,0.000414986
538,k__Bacteria;p__Nitrospirae,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,0.631997976,3.14529944,0.001659169,0.031604565
539,k__Bacteria;p__Nitrospirae,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,-0.444280709,-2.182108065,0.029101558,0.371254534
540,k__Bacteria;p__Nitrospirae,k__Bacteria;p__SC3,NA,NA,NA,NA
541,k__Bacteria;p__Nitrospirae,k__Bacteria;p__SC4,NA,NA,NA,NA
542,k__Bacteria;p__Nitrospirae,k__Bacteria;p__SM2F11,NA,NA,NA,NA
543,k__Bacteria;p__Nitrospirae,k__Bacteria;p__SPAM,NA,NA,NA,NA
544,k__Bacteria;p__Nitrospirae,k__Bacteria;p__Spirochaetes,NA,NA,NA,NA
545,k__Bacteria;p__Nitrospirae,k__Bacteria;p__TG3,NA,NA,NA,NA
546,k__Bacteria;p__Nitrospirae,k__Bacteria;p__TM7,NA,NA,NA,NA
547,k__Bacteria;p__Nitrospirae,k__Bacteria;p__Tenericutes,NA,NA,NA,NA
548,k__Bacteria;p__Nitrospirae,k__Bacteria;p__Thermi,0.250423223,1.178716608,0.23851104,2.085899516
549,k__Bacteria;p__Nitrospirae,k__Bacteria;p__Verrucomicrobia,0.787025692,4.692900196,2.69E-06,0.000197133
550,k__Bacteria;p__Nitrospirae,k__Bacteria;p__WPS-2,0.336184645,1.510756592,0.130850478,1.254842827
551,k__Bacteria;p__Nitrospirae,k__Bacteria;p__WS3,NA,NA,NA,NA
552,k__Bacteria;p__OP10,k__Bacteria;p__OP11,NA,NA,NA,NA
553,k__Bacteria;p__OP10,k__Bacteria;p__OP3,NA,NA,NA,NA
554,k__Bacteria;p__OP10,k__Bacteria;p__Planctomycetes,0.369775864,1.73163334,0.083338866,0.905356533
555,k__Bacteria;p__OP10,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,-0.151317495,-0.521630785,0.601927425,4.206036875
556,k__Bacteria;p__OP10,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,-0.315662323,-1.489339415,0.136398014,1.290246626
557,k__Bacteria;p__OP10,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,0.325683349,1.516574299,0.129374198,1.258037699
558,k__Bacteria;p__OP10,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,0.04609672,0.137005125,0.891026744,5.581099775
559,k__Bacteria;p__OP10,k__Bacteria;p__SC3,NA,NA,NA,NA
560,k__Bacteria;p__OP10,k__Bacteria;p__SC4,NA,NA,NA,NA
561,k__Bacteria;p__OP10,k__Bacteria;p__SM2F11,NA,NA,NA,NA
562,k__Bacteria;p__OP10,k__Bacteria;p__SPAM,NA,NA,NA,NA
563,k__Bacteria;p__OP10,k__Bacteria;p__Spirochaetes,NA,NA,NA,NA
564,k__Bacteria;p__OP10,k__Bacteria;p__TG3,NA,NA,NA,NA
565,k__Bacteria;p__OP10,k__Bacteria;p__TM7,NA,NA,NA,NA
566,k__Bacteria;p__OP10,k__Bacteria;p__Tenericutes,NA,NA,NA,NA
567,k__Bacteria;p__OP10,k__Bacteria;p__Thermi,0.172471162,0.703875387,0.481510381,3.561474396
568,k__Bacteria;p__OP10,k__Bacteria;p__Verrucomicrobia,0.376790582,1.93147657,0.053424144,0.624270242
569,k__Bacteria;p__OP10,k__Bacteria;p__WPS-2,0.196055498,0.778377294,0.43634662,3.352239685
570,k__Bacteria;p__OP10,k__Bacteria;p__WS3,NA,NA,NA,NA
571,k__Bacteria;p__OP11,k__Bacteria;p__OP3,NA,NA,NA,NA
572,k__Bacteria;p__OP11,k__Bacteria;p__Planctomycetes,NA,NA,NA,NA
573,k__Bacteria;p__OP11,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,NA,NA,NA,NA
574,k__Bacteria;p__OP11,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,NA,NA,NA,NA
575,k__Bacteria;p__OP11,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,NA,NA,NA,NA
576,k__Bacteria;p__OP11,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,NA,NA,NA,NA
577,k__Bacteria;p__OP11,k__Bacteria;p__SC3,NA,NA,NA,NA
578,k__Bacteria;p__OP11,k__Bacteria;p__SC4,NA,NA,NA,NA
579,k__Bacteria;p__OP11,k__Bacteria;p__SM2F11,NA,NA,NA,NA
580,k__Bacteria;p__OP11,k__Bacteria;p__SPAM,NA,NA,NA,NA
581,k__Bacteria;p__OP11,k__Bacteria;p__Spirochaetes,NA,NA,NA,NA
582,k__Bacteria;p__OP11,k__Bacteria;p__TG3,NA,NA,NA,NA
583,k__Bacteria;p__OP11,k__Bacteria;p__TM7,NA,NA,NA,NA
584,k__Bacteria;p__OP11,k__Bacteria;p__Tenericutes,NA,NA,NA,NA
585,k__Bacteria;p__OP11,k__Bacteria;p__Thermi,NA,NA,NA,NA
586,k__Bacteria;p__OP11,k__Bacteria;p__Verrucomicrobia,NA,NA,NA,NA
587,k__Bacteria;p__OP11,k__Bacteria;p__WPS-2,NA,NA,NA,NA
588,k__Bacteria;p__OP11,k__Bacteria;p__WS3,NA,NA,NA,NA
589,k__Bacteria;p__OP3,k__Bacteria;p__Planctomycetes,NA,NA,NA,NA
590,k__Bacteria;p__OP3,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,NA,NA,NA,NA
591,k__Bacteria;p__OP3,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,NA,NA,NA,NA
592,k__Bacteria;p__OP3,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,NA,NA,NA,NA
593,k__Bacteria;p__OP3,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,NA,NA,NA,NA
594,k__Bacteria;p__OP3,k__Bacteria;p__SC3,NA,NA,NA,NA
595,k__Bacteria;p__OP3,k__Bacteria;p__SC4,NA,NA,NA,NA
596,k__Bacteria;p__OP3,k__Bacteria;p__SM2F11,NA,NA,NA,NA
597,k__Bacteria;p__OP3,k__Bacteria;p__SPAM,NA,NA,NA,NA
598,k__Bacteria;p__OP3,k__Bacteria;p__Spirochaetes,NA,NA,NA,NA
599,k__Bacteria;p__OP3,k__Bacteria;p__TG3,NA,NA,NA,NA
600,k__Bacteria;p__OP3,k__Bacteria;p__TM7,NA,NA,NA,NA
601,k__Bacteria;p__OP3,k__Bacteria;p__Tenericutes,NA,NA,NA,NA
602,k__Bacteria;p__OP3,k__Bacteria;p__Thermi,NA,NA,NA,NA
603,k__Bacteria;p__OP3,k__Bacteria;p__Verrucomicrobia,NA,NA,NA,NA
604,k__Bacteria;p__OP3,k__Bacteria;p__WPS-2,NA,NA,NA,NA
605,k__Bacteria;p__OP3,k__Bacteria;p__WS3,NA,NA,NA,NA
606,k__Bacteria;p__Planctomycetes,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,-0.246047431,-1.006224993,0.314307352,2.570914538
607,k__Bacteria;p__Planctomycetes,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,-0.718379447,-3.743550429,0.000181438,0.004760305
608,k__Bacteria;p__Planctomycetes,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,0.827075099,5.189412249,2.11E-07,3.67E-05
609,k__Bacteria;p__Planctomycetes,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,-0.424901186,-2.078004864,0.037708911,0.468174754
610,k__Bacteria;p__Planctomycetes,k__Bacteria;p__SC3,NA,NA,NA,NA
611,k__Bacteria;p__Planctomycetes,k__Bacteria;p__SC4,NA,NA,NA,NA
612,k__Bacteria;p__Planctomycetes,k__Bacteria;p__SM2F11,NA,NA,NA,NA
613,k__Bacteria;p__Planctomycetes,k__Bacteria;p__SPAM,NA,NA,NA,NA
614,k__Bacteria;p__Planctomycetes,k__Bacteria;p__Spirochaetes,NA,NA,NA,NA
615,k__Bacteria;p__Planctomycetes,k__Bacteria;p__TG3,NA,NA,NA,NA
616,k__Bacteria;p__Planctomycetes,k__Bacteria;p__TM7,NA,NA,NA,NA
617,k__Bacteria;p__Planctomycetes,k__Bacteria;p__Tenericutes,NA,NA,NA,NA
618,k__Bacteria;p__Planctomycetes,k__Bacteria;p__Thermi,0.515251925,2.679817275,0.007366236,0.113811234
619,k__Bacteria;p__Planctomycetes,k__Bacteria;p__Verrucomicrobia,0.732213439,4.15096266,3.31E-05,0.001180457
620,k__Bacteria;p__Planctomycetes,k__Bacteria;p__WPS-2,0.600078451,3.304571515,0.000951217,0.018895727
621,k__Bacteria;p__Planctomycetes,k__Bacteria;p__WS3,NA,NA,NA,NA
622,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,0.173913043,0.732081996,0.464118522,3.469748349
623,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,-0.380434783,-1.556598656,0.119565803,1.187574792
624,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,-0.313241107,-1.387128697,0.165402523,1.523165882
625,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,k__Bacteria;p__SC3,NA,NA,NA,NA
626,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,k__Bacteria;p__SC4,NA,NA,NA,NA
627,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,k__Bacteria;p__SM2F11,NA,NA,NA,NA
628,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,k__Bacteria;p__SPAM,NA,NA,NA,NA
629,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,k__Bacteria;p__Spirochaetes,NA,NA,NA,NA
630,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,k__Bacteria;p__TG3,NA,NA,NA,NA
631,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,k__Bacteria;p__TM7,NA,NA,NA,NA
632,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,k__Bacteria;p__Tenericutes,NA,NA,NA,NA
633,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,k__Bacteria;p__Thermi,-0.449646881,-1.983587396,0.047301855,0.576972809
634,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,k__Bacteria;p__Verrucomicrobia,-0.174901186,-0.711761179,0.476612676,3.544100294
635,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,k__Bacteria;p__WPS-2,-0.181982554,-0.767990342,0.442492923,3.362306193
636,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,k__Bacteria;p__WS3,NA,NA,NA,NA
637,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,-0.645256917,-3.52182403,0.000428589,0.010101144
638,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,0.481225296,2.548710737,0.010812194,0.156611849
639,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,k__Bacteria;p__SC3,NA,NA,NA,NA
640,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,k__Bacteria;p__SC4,NA,NA,NA,NA
641,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,k__Bacteria;p__SM2F11,NA,NA,NA,NA
642,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,k__Bacteria;p__SPAM,NA,NA,NA,NA
643,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,k__Bacteria;p__Spirochaetes,NA,NA,NA,NA
644,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,k__Bacteria;p__TG3,NA,NA,NA,NA
645,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,k__Bacteria;p__TM7,NA,NA,NA,NA
646,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,k__Bacteria;p__Tenericutes,NA,NA,NA,NA
647,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,k__Bacteria;p__Thermi,-0.23264558,-1.120033286,0.262699578,2.24106159
648,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,k__Bacteria;p__Verrucomicrobia,-0.695652174,-3.707306825,0.000209475,0.005296046
649,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,k__Bacteria;p__WPS-2,-0.301585819,-1.386265343,0.165665895,1.515554454
650,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,k__Bacteria;p__WS3,NA,NA,NA,NA
651,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,-0.278656126,-1.255338035,0.209356073,1.854248486
652,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,k__Bacteria;p__SC3,NA,NA,NA,NA
653,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,k__Bacteria;p__SC4,NA,NA,NA,NA
654,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,k__Bacteria;p__SM2F11,NA,NA,NA,NA
655,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,k__Bacteria;p__SPAM,NA,NA,NA,NA
656,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,k__Bacteria;p__Spirochaetes,NA,NA,NA,NA
657,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,k__Bacteria;p__TG3,NA,NA,NA,NA
658,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,k__Bacteria;p__TM7,NA,NA,NA,NA
659,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,k__Bacteria;p__Tenericutes,NA,NA,NA,NA
660,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,k__Bacteria;p__Thermi,0.648985285,3.683829515,0.000229756,0.005705067
661,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,k__Bacteria;p__Verrucomicrobia,0.759881423,4.247433442,2.16E-05,0.000939625
662,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,k__Bacteria;p__WPS-2,0.626370548,3.383553325,0.000715543,0.015307507
663,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,k__Bacteria;p__WS3,NA,NA,NA,NA
664,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,k__Bacteria;p__SC3,NA,NA,NA,NA
665,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,k__Bacteria;p__SC4,NA,NA,NA,NA
666,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,k__Bacteria;p__SM2F11,NA,NA,NA,NA
667,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,k__Bacteria;p__SPAM,NA,NA,NA,NA
668,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,k__Bacteria;p__Spirochaetes,NA,NA,NA,NA
669,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,k__Bacteria;p__TG3,NA,NA,NA,NA
670,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,k__Bacteria;p__TM7,NA,NA,NA,NA
671,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,k__Bacteria;p__Tenericutes,NA,NA,NA,NA
672,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,k__Bacteria;p__Thermi,0.099921529,0.282432339,0.777612021,5.052789592
673,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,k__Bacteria;p__Verrucomicrobia,-0.388339921,-1.862659367,0.062510206,0.712480728
674,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,k__Bacteria;p__WPS-2,0.006186376,0.068002582,0.945783579,5.793592344
675,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,k__Bacteria;p__WS3,NA,NA,NA,NA
676,k__Bacteria;p__SC3,k__Bacteria;p__SC4,NA,NA,NA,NA
677,k__Bacteria;p__SC3,k__Bacteria;p__SM2F11,NA,NA,NA,NA
678,k__Bacteria;p__SC3,k__Bacteria;p__SPAM,NA,NA,NA,NA
679,k__Bacteria;p__SC3,k__Bacteria;p__Spirochaetes,NA,NA,NA,NA
680,k__Bacteria;p__SC3,k__Bacteria;p__TG3,NA,NA,NA,NA
681,k__Bacteria;p__SC3,k__Bacteria;p__TM7,NA,NA,NA,NA
682,k__Bacteria;p__SC3,k__Bacteria;p__Tenericutes,NA,NA,NA,NA
683,k__Bacteria;p__SC3,k__Bacteria;p__Thermi,NA,NA,NA,NA
684,k__Bacteria;p__SC3,k__Bacteria;p__Verrucomicrobia,NA,NA,NA,NA
685,k__Bacteria;p__SC3,k__Bacteria;p__WPS-2,NA,NA,NA,NA
686,k__Bacteria;p__SC3,k__Bacteria;p__WS3,NA,NA,NA,NA
687,k__Bacteria;p__SC4,k__Bacteria;p__SM2F11,NA,NA,NA,NA
688,k__Bacteria;p__SC4,k__Bacteria;p__SPAM,NA,NA,NA,NA
689,k__Bacteria;p__SC4,k__Bacteria;p__Spirochaetes,NA,NA,NA,NA
690,k__Bacteria;p__SC4,k__Bacteria;p__TG3,NA,NA,NA,NA
691,k__Bacteria;p__SC4,k__Bacteria;p__TM7,NA,NA,NA,NA
692,k__Bacteria;p__SC4,k__Bacteria;p__Tenericutes,NA,NA,NA,NA
693,k__Bacteria;p__SC4,k__Bacteria;p__Thermi,NA,NA,NA,NA
694,k__Bacteria;p__SC4,k__Bacteria;p__Verrucomicrobia,NA,NA,NA,NA
695,k__Bacteria;p__SC4,k__Bacteria;p__WPS-2,NA,NA,NA,NA
696,k__Bacteria;p__SC4,k__Bacteria;p__WS3,NA,NA,NA,NA
697,k__Bacteria;p__SM2F11,k__Bacteria;p__SPAM,NA,NA,NA,NA
698,k__Bacteria;p__SM2F11,k__Bacteria;p__Spirochaetes,NA,NA,NA,NA
699,k__Bacteria;p__SM2F11,k__Bacteria;p__TG3,NA,NA,NA,NA
700,k__Bacteria;p__SM2F11,k__Bacteria;p__TM7,NA,NA,NA,NA
701,k__Bacteria;p__SM2F11,k__Bacteria;p__Tenericutes,NA,NA,NA,NA
702,k__Bacteria;p__SM2F11,k__Bacteria;p__Thermi,NA,NA,NA,NA
703,k__Bacteria;p__SM2F11,k__Bacteria;p__Verrucomicrobia,NA,NA,NA,NA
704,k__Bacteria;p__SM2F11,k__Bacteria;p__WPS-2,NA,NA,NA,NA
705,k__Bacteria;p__SM2F11,k__Bacteria;p__WS3,NA,NA,NA,NA
706,k__Bacteria;p__SPAM,k__Bacteria;p__Spirochaetes,NA,NA,NA,NA
707,k__Bacteria;p__SPAM,k__Bacteria;p__TG3,NA,NA,NA,NA
708,k__Bacteria;p__SPAM,k__Bacteria;p__TM7,NA,NA,NA,NA
709,k__Bacteria;p__SPAM,k__Bacteria;p__Tenericutes,NA,NA,NA,NA
710,k__Bacteria;p__SPAM,k__Bacteria;p__Thermi,NA,NA,NA,NA
711,k__Bacteria;p__SPAM,k__Bacteria;p__Verrucomicrobia,NA,NA,NA,NA
712,k__Bacteria;p__SPAM,k__Bacteria;p__WPS-2,NA,NA,NA,NA
713,k__Bacteria;p__SPAM,k__Bacteria;p__WS3,NA,NA,NA,NA
714,k__Bacteria;p__Spirochaetes,k__Bacteria;p__TG3,NA,NA,NA,NA
715,k__Bacteria;p__Spirochaetes,k__Bacteria;p__TM7,NA,NA,NA,NA
716,k__Bacteria;p__Spirochaetes,k__Bacteria;p__Tenericutes,NA,NA,NA,NA
717,k__Bacteria;p__Spirochaetes,k__Bacteria;p__Thermi,NA,NA,NA,NA
718,k__Bacteria;p__Spirochaetes,k__Bacteria;p__Verrucomicrobia,NA,NA,NA,NA
719,k__Bacteria;p__Spirochaetes,k__Bacteria;p__WPS-2,NA,NA,NA,NA
720,k__Bacteria;p__Spirochaetes,k__Bacteria;p__WS3,NA,NA,NA,NA
721,k__Bacteria;p__TG3,k__Bacteria;p__TM7,NA,NA,NA,NA
722,k__Bacteria;p__TG3,k__Bacteria;p__Tenericutes,NA,NA,NA,NA
723,k__Bacteria;p__TG3,k__Bacteria;p__Thermi,NA,NA,NA,NA
724,k__Bacteria;p__TG3,k__Bacteria;p__Verrucomicrobia,NA,NA,NA,NA
725,k__Bacteria;p__TG3,k__Bacteria;p__WPS-2,NA,NA,NA,NA
726,k__Bacteria;p__TG3,k__Bacteria;p__WS3,NA,NA,NA,NA
727,k__Bacteria;p__TM7,k__Bacteria;p__Tenericutes,NA,NA,NA,NA
728,k__Bacteria;p__TM7,k__Bacteria;p__Thermi,NA,NA,NA,NA
729,k__Bacteria;p__TM7,k__Bacteria;p__Verrucomicrobia,NA,NA,NA,NA
730,k__Bacteria;p__TM7,k__Bacteria;p__WPS-2,NA,NA,NA,NA
731,k__Bacteria;p__TM7,k__Bacteria;p__WS3,NA,NA,NA,NA
732,k__Bacteria;p__Tenericutes,k__Bacteria;p__Thermi,NA,NA,NA,NA
733,k__Bacteria;p__Tenericutes,k__Bacteria;p__Verrucomicrobia,NA,NA,NA,NA
734,k__Bacteria;p__Tenericutes,k__Bacteria;p__WPS-2,NA,NA,NA,NA
735,k__Bacteria;p__Tenericutes,k__Bacteria;p__WS3,NA,NA,NA,NA
736,k__Bacteria;p__Thermi,k__Bacteria;p__Verrucomicrobia,0.437030526,2.149247379,0.031614795,0.399649902
737,k__Bacteria;p__Thermi,k__Bacteria;p__WPS-2,0.707978789,3.916439925,8.99E-05,0.002716568
738,k__Bacteria;p__Thermi,k__Bacteria;p__WS3,NA,NA,NA,NA
739,k__Bacteria;p__Verrucomicrobia,k__Bacteria;p__WPS-2,0.492332406,2.360802581,0.018235435,0.251059571
740,k__Bacteria;p__Verrucomicrobia,k__Bacteria;p__WS3,NA,NA,NA,NA
741,k__Bacteria;p__WPS-2,k__Bacteria;p__WS3,NA,NA,NA,NA
